g_flags,g_means,y_flags,y_means,r_flags,r_means
Follow a healthy diet,Good work!,Have yellow color to your skin,You are at higher risk of having non-alcoholic fatty liver,Have severe shortness of breath,You need to be evaluated by a health care professional immediately.
Take medicines as directed by your health care provider,,"Have abdominal pain, or swelling in your abdomen",You may have liver disease or your liver disease is getting worse,"Weight gain,",
"Practice good health habits, including hand washing",,"Have stool that is pale, tar-colored or bloody",,"Persisting fever, vomiting, and abdominal pain",
,,Have dark urine,,,
,,Have headaches,,,
,,Itchy skin,,,
,,Whites of your eyes appear yellow,,,
,,Feel tired all the time,,,
,,Feel nauseated or lose your appetite,,,
,,Bruise easily,,,
,,Have CHF and it is not well controlled,,,
,,Have confusion,,,
