condition,g_flags,g_means,y_flags,y_means,r_flags,r_means
Stroke,"If you:
Have controlled blood pressure
Follow a low fat, low salt diet 
See your health care provider regularly","
Good work!","If you:
Have blood pressure not under control 
Skip or forget medications
Have blood sugars not in control 
Do not regularly exercise
Frequently eat fried foods
","
You are at higher risk for stroke ","If you have:
Sudden onset of weakness or numbness of face, arm, or leg
Sudden trouble walking, have severe dizziness, loss of balance and coordination 
Trouble seeing in one or both eyes
Difficulty speaking or understanding speech
Sudden and unexplained confusion 
Sudden severe headache with no known cause 
","
You could be having a stroke
You need to be evaluated by a health care professional immediately."
Diabetes,"If you have:
HgbA1c less than 7 or ______
Fasting blood sugar is between 90–130
Blood sugar less than 180 (1–2 hours after eating)
Blood pressure less than 130/80
No decrease in your ability to maintain your activity level
","Your blood sugars are under control.
Continue to take any medications as ordered.
Continue routine blood glucose monitoring.
Follow healthy eating habits-the “Plate Diet” 
Get at least 30 minutes of physical activity a day 
Keep all physician appointments.
",Keep up the great work!,Yellow Flags — Caution,"If you have:
HgbA1c between 7 percent and 8 percent
Average blood sugar 150–210 
Most fasting blood sugars less than 200
Low readings less than 70. 
Blood pressure greater than 140/90","You may need your medications adjusted.
Improve your eating habits.
Increase your activity level.
Make sure you keep rescue food available 
Decrease your salt intake ","Call your doctor, consulting nurse, or health care provider if changes in your activity level or eating habits don’t decrease your fasting blood sugar levels OR if your readings continue to be below 70mg. 
Name: 

Number: 

Instructions: 
","You may need your medications adjusted.
Improve your eating habits.
Increase your activity level.
Make sure you keep rescue food available 
Decrease your salt intake ","If you have:
HgbA1c greater than 9 percent
Average blood sugars greater than 210
Most fasting blood sugars well over 200
","
If you have blood glucose over __________________, call your physician:
","If possible, notify your health care provider’s office. 

Name:

Number:

Follow these instructions:  CALL 9-1-1
","
If you have blood glucose over __________________, call your physician:
"
Skin Health,"If you have:
No open wounds, rashes, or skin breakdown. 
A habit of regularly washing your hands","Good work!
","If you have:
Red, painful pustules 
Non-healing wounds or wounds that are draining yellow pus 
Inflamed boils (can be the size of a pea to the size of an orange)
Area of skin that is tender, swollen and painful
Red, cracked, or flaky skin
Itching 
A mole that changes color or shape 
A dome-shape bump that appears shiny or “pearly”
History of sunburn and long periods of sun exposure 
Have a mild fever ranging from 101–103, or a moderate fever from 102–103","You may have an infection, an abscess, or a skin ulcer 
You could be having a side effect to a medication
You could have a type of skin cancer
Prolonged exposure to the sun without a sun screen places you at higher risk for skin cancer","If you have: 
Red, swollen, tender skin and you have a fever  of 100.4 or greater 
A crepitus or crackling, popping sensation under the skin due to gas in the soft tissues 
A rash 
A fever of 104 or higher","You may have an infection or allergic reaction to a food, medication, or plant 
You need to be evaluated by a health care professional immediately."
OxygenTherapy,"If you:
Use oxygen therapy as prescribed by your medical provider ","
Good work!","If you have:
Have difficulty breathing or shortness of breath
Increase in fatigue 
Fever
Cough 
Dry nose and mouth 
","Your health condition may be worsening 
You may have an infection ","If you have:  
Are extremely short of breath 
Have blue tint to lips or fingernails 
You have a headache, your heart is beating fast, and you are shaking. 
Have sudden chest pain 
Confusion, restlessness, or more anxiety than usual 
You are tired, confused, cannot think clearly, or faint",You need to be evaluated by a health care professional immediately.
Osteoarthritis,"If you:
Stay as active as your condition allows 
Do exercises to help strengthen your muscles and potentially stimulate cartilage growth
Can do your daily activities 
","Good work!
Your symptoms are under control 
","If you have:
Joint pain that interferes with your daily activities 
Pain that does not go away with common pain relieving medication
Increased muscle weakness, particularly muscles around you knee or ankle 
Increased swelling in your joints
Reduced ability to move your joints
 ","You may have an Arthritis flare-up or your Arthritis treatment plan may need to be changed
You may benefit from a physical therapist evaluation 
 ","If you: 
Notice a sudden loss of mobility, including an inability to walk or to bear weight
Have a fall associated with pain 
Have a fever, noted redness or new joint swelling 
","You need to be evaluated by a health care professional immediately.
"
Anxiety-Mgmt,"If you have:
No anxiety symptoms
Anxiety symptoms are managed with medications.","Your symptoms are under control.
Good for you!","If you have:
Severe worry, nervousness, feel anxious or your anxious feelings that affect your ability to do your daily activities
Trouble falling asleep or problems sleeping that lasts longer than four weeks. 
Uncontrollable, obsessive thoughts 
Nightmares, or flashbacks of traumatic experiences 
Severe muscle tension
Drowsiness, lack of energy
Confusion, disorientation 
Dizziness, lightheadedness 
Nausea, stomach upset
Take alcohol or other drugs with your anxiety medication 
","You may have anxiety 
Your anxiety may not be well controlled with treatment, therapy, or medication
You could be having a side effect to the  medication or
Your medication may need to be adjusted. 
You are at higher risk for accidents, overdose, and potential death. 
","If you: 
Have thoughts of death or feel like harming yourself or others 
",You need to be evaluated by a health care professional immediately.
AlcoholUseLiverDisease,"If you:
Do not drink or if you do, drink in moderation.",You are taking steps in taking care of your health ,"
If you have:
Drink heavily and are frequently intoxicated. 
Risky behaviors e.g. driving after drinking 
Loss of appetite 
Regularly lose control over your alcohol intake, drink to cope with difficulties, or to avoid feeling bad. 
A need to drink to relieve or avoid withdrawal symptoms","
You are at increased risk for accidents and injuries 
You are at increased risk for health complications
You may benefit from counseling 
You may benefit from alcohol treatment
","If you: 
Black out (have little or no memory of events before passing out) 
Shake or have tremors in your hands and legs, or have a seizure
Have hallucinations
Have nausea, vomiting, abdominal pain, and dehydration. 
Vomit blood
Have confusion, agitation, sweating, rapid heart rate and high blood pressure indicating delirium tremens (“DTs”)
Have loss of consciousness or fainting
Feel suicidal",You need to be evaluated by a health care professional immediately.
TobaccoUse,"If you:
Do not smoke 
Are not exposed to second-hand smoke
","Good work!
","When you: 
Smoke or are exposed to second-hand smoke
Have a cough that will not go away
Frequently have a sore throat
Wheezing
Shortness of breath
Lasting chest pains
Change in voice pattern
Joint and skeletal pains
Have stomach pains or heartburn
Difficulty swallowing 
Have a sore on your tongue or in your mouth 
","You may be developing lung problems due to smoking
You may need follow-up by your primary care provider
","If you: 
Have a high fever 
Notice blood discharge when you cough 
Extreme shortness of breath 
Chest pain 
",You need to be evaluated by a health care professional immediately.
Cholesterol,"If you have:
Take medications for cholesterol as prescribed 
Regularly eat a healthy diet
Are physically active","Good work!
","If you:
Regularly eat fatty foods 
Do not exercise regularly 
Have been told you have high cholesterol 
Have not had your cholesterol checked within 5 years
Are overweight 
Over 20 years of age 
Have a family member with high cholesterol 
Have soft, yellow spots on your eyelids 
 ","You are at risk for having or developing high cholesterol. 
You are at higher risk of a heart attack or stroke. 
Consider dietary changes.","If you have: 
Shortness of breath
Irregular heartbeats or a “flip-flop” feeling in your chest 
Chest pain 
Pain in jaw, neck, throat, or back
A fast heartbeat
Weakness or dizziness 
Nausea 
Sweating 
","You could be having a heart attack.
You need to be evaluated by a health care professional immediately."
WeightandYourHealth,"If you:
Eat a balanced diet. 
Consume calories that help you maintain a healthy weight.
","
Good work!","If you:
Are overweight. 
Routinely eat fried or breaded foods.
Drink whole milk. 
Eat foods high in fat. 
Drink sugary drinks. 
Eat foods that are salty, like potato chips and processed foods. 
Do not regularly eat vegetables or whole grains.

","
You are at higher risk for health problems related to your weight, including risk for heart disease, stroke, and Diabetes 
Talk with your health provider about a health nutrition plan 
",You need to be evaluated by a health care professional immediately.,
